OrderId,OrderDate,ProductId,ProductName,Quantity,Unit
1000,1/1/2018,P-10001,Arugola,5250.5,kg
1001,2/2/2017,P-10002,Iceberg Lettuce,500,kg
1002,3/3/2016,P-10003,Abc,100,kg
1003,4/4/2015,P-10004,Def,50,kg
1004,5/5/2014,P-10005,Ghi,1,kg
1005,6/6/2013,P-10006,Abc,111125.25,kg
1006,7/7/2012,P-10007,Def,222,kg
1007,8/8/2011,P-10008,Ghi,333,kg
1008,9/9/2010,P-10009,Abc,444000.01,kg
1009,10/10/2009,P-10010,Def,555000.01,kg
1010,11/11/2008,P♀10011,Ghi,666000.01,kg
1011,12/12/2007,P-10012,Abc,777000.01,kg

1013,3/14/2005,P-10014,Ghi,999000.01,kg
1014,4/15/2004,P-10015,Abc,1110000.01,kg
1015,5/16/2003,P-10016,Def,1221000.01,kg
1016,6/17/2002,P-10017,Ghi,1332000.01,kg
1017,7/18/2001,P-10018,Abc,1443000.01,kg
1018,8/19/2000,P-10019,Def,1554000.01,kg
1019,9/20/1999,P-10020,Ghi,1665000.01,kg

1021,9/22/1999,P-10022,Def,1887000.01,kg
1022,8/23/2000,P-10023,Ghi,1998000.01,kg
1023,7/24/2001,P-1,0,0,24,Abc,2109000.01,kg
1024,6/25/2002,P-10025,Def,2220000.01,kg
1025,5/26/2003,P-10026,Ghi,2331000.01,kg
1026,4/27/2004,P-10027,Abc,666000.01,kg
1027,3/28/2005,P-10025,Def,777000.01,kg

1029,1/30/2007,P-10027,Abc,999000.01,kg
1030,1/31/2008,scf/,Def,2220000.01,kg

